tag,ai_answerability_zscore,mean_questions_pre,mean_answers_pre,trend_log_questions_pre,trend_log_answers_pre,volatility_log_questions_pre,tag_maturity_weeks_pre,code_share_pre,closed_share_pre,answer_rate_pre,short_code_share_pre
bash,0.7559093071027364,218.39688715953307,311.6887159533074,-0.0016432549076892907,-0.0022365665945406087,0.19407352615435655,257,0.9414200353641434,0.1259977194982896,0.8691362178988327,0.36300066586110347
c,-0.0753495881644568,481.26459143968873,637.2996108949417,-0.0008386597277934421,-0.0018374424435413934,0.20392758087459872,257,0.9237487826151908,0.09850022233900635,0.832592560311284,0.22815888130297068
c#,0.0248330661705128,1628.0428015564203,1877.420233463035,-0.002899936746605304,-0.0036910563132728437,0.23680996033216622,257,0.8693337877698684,0.05890197821738164,0.7926635719844358,0.1431152882980764
c++,-0.0714908118943149,929.3112840466927,1102.0856031128405,-0.0013515385469929544,-0.0026182222835441195,0.1891698811314513,257,0.9152587713626698,0.09685428730535563,0.7979948949416342,0.18826344382178328
css,0.2297476209187957,960.1750972762646,1359.4747081712062,-0.001522767049780864,-0.0024023425723612405,0.15679802990075975,257,0.9036260101312111,0.08133649423540616,0.8630619416342412,0.12865633999830095
csv,0.1258568790510962,139.96108949416342,176.4396887159533,-0.0011037337511050492,-0.001950070809357339,0.1792002303633526,257,0.886662838871097,0.043369474562135114,0.8500194785992219,0.17464862071755743
dart,0.6326311000504187,274.54474708171205,411.6031128404669,0.0073558356986729535,0.004254726599611674,0.6782441994931973,257,0.8362798832943972,0.021060687661214886,0.8788461712062258,0.18172573459267513
database,-0.2595165061759353,213.04280155642024,243.06225680933852,-0.002326285156622392,-0.0033443480685248794,0.2831930374788319,257,0.736865897222849,0.0437426943308007,0.8063013463035019,0.1599240236107396
dataframe,0.8204713566166805,398.5058365758755,569.2256809338521,0.003235683505578288,0.0026658487175559875,0.2877017983153182,257,0.9315128775582604,0.06332994844555538,0.9049733774319068,0.21994384211217438
dictionary,0.9067890714994792,144.01556420233464,239.15175097276264,0.000503223494076563,-0.00032474543910659086,0.17348538532594474,257,0.9661856829915004,0.0778666378471847,0.9186002101167315,0.2589137859859438
django,0.0903252949973694,540.7665369649806,588.4591439688716,-0.0006522731329724377,-0.0013137211867827246,0.17065952476830543,257,0.9020215185018802,0.015333472445080841,0.8056267859922179,0.13729958052944446
docker,-0.5660096240941873,343.2256809338521,399.6575875486381,0.00011274700949634193,-0.0014755312201442622,0.12615971423533004,257,0.8474084474683644,0.028228412066795903,0.7807611089494163,0.13483042956663685
excel,-0.3160263050631642,453.6575875486381,508.84046692607006,-0.0025813445866505074,-0.0034748049362735784,0.2327363473905315,257,0.7872297454225146,0.025731194785144525,0.7989732879377432,0.17017712814788052
express,-0.1995481546892842,197.4396887159533,220.91439688715954,-0.00036284989236885947,-0.0014341876877961065,0.1564335174994048,257,0.908123922711517,0.023353435024240275,0.7967122451361868,0.11840476900163867
firebase,-0.1674886970496735,365.23346303501944,419.2762645914397,-0.001766708807119949,-0.0027230616789940096,0.20262653808451575,257,0.822529970051885,0.053949821552229264,0.8084398599221789,0.11141272056838805
flask,-0.1434386676834025,122.96887159533074,127.3385214007782,-0.0009096741004645095,-0.0016635026463649159,0.3112379032122022,257,0.9149789536547829,0.07141727051229314,0.8007512957198444,0.10758313411775682
flutter,0.3984571563997818,537.6381322957199,780.7509727626459,0.008699722021198576,0.005069099159324342,0.8027728639772105,257,0.7859114446226825,0.019374262699659122,0.8626408871595331,0.15182315028752497
for-loop,0.5585224920647861,129.85214007782102,203.09727626459144,0.0006015264165452111,-0.0002967930529350817,0.18698650496121916,257,0.9779832437593735,0.08204482799952055,0.9025742412451362,0.24577233156975928
function,0.3977453793731797,173.01556420233464,244.62645914396887,0.00024007558721085047,-0.0006735495594007789,0.18530371820977773,257,0.9464459438828401,0.09234229169009334,0.8750300233463033,0.2520992985681128
ggplot2,0.2112415808697754,119.29571984435798,128.93774319066148,0.0005817084581337718,0.0004880210598251997,0.2014790732653317,257,0.9655889414595766,0.05743827261163117,0.8380327120622568,0.1203614214224788
git,0.128001572530122,204.30350194552528,256.8715953307393,-0.0020703705801637597,-0.003106689862314755,0.2103666457812187,257,0.6800699464727079,0.06437359539862111,0.8270478715953307,0.24737059014419535
go,0.3788353001228974,151.1284046692607,180.01167315175098,0.00031057040336607196,-0.0008294525706861731,0.1332517830774754,257,0.9185827070688024,0.06753347064881565,0.8571991322957199,0.21141432954306033
google-apps-script,-0.207885540963443,124.03112840466926,135.10505836575877,0.0012634713734353163,0.0017290260155941675,0.22492416813383712,257,0.8107609933553684,0.03843016689672481,0.8381463891050585,0.12035277962316121
google-cloud-firestore,0.1037382000785874,140.49805447470817,161.6225680933852,0.0015379440812894783,0.000436232939053757,0.2762600346515739,257,0.8573772800627523,0.0511797939514789,0.8435402607003891,0.13088379783964674
google-cloud-platform,-0.1833202297026911,139.29182879377433,165.94941634241246,0.001034473762572845,-0.0002489490337264491,0.18346269750830735,257,0.625117697878642,0.017487010447511032,0.8567670933852141,0.12378688350065886
google-sheets,0.1840420193675504,135.99221789883268,164.22178988326849,0.0031532824998655867,0.0034972090339467983,0.3188781565011762,257,0.7259624345289387,0.03233190271816881,0.8946177782101167,0.16927682963763377
html,0.3266961594923233,1423.9805447470817,1946.3035019455253,-0.001986814092754857,-0.0028991479360383618,0.18376894684652317,257,0.9127734832065977,0.06995789191803543,0.8498214085603114,0.128835682169456
ios,-0.5277913559594533,553.727626459144,652.5058365758755,-0.00503011596163105,-0.006332148642652523,0.39257603222601345,257,0.7513494015490253,0.030504258369171092,0.763685420233463,0.12800901689919827
java,0.1368412137614545,2102.525291828794,2551.614785992218,-0.003600806272196025,-0.004721201842659671,0.2921051621910492,257,0.8734160502831719,0.07236434230469567,0.7937243346303502,0.14797408874097503
javascript,0.9711433604039796,3604.852140077821,4809.8793774319065,-0.0013484819537705904,-0.0023760944381480847,0.1487660335456988,257,0.9220463520381379,0.061840558607238194,0.8310906848249027,0.17150957413092593
jquery,-0.0491747361173036,623.5719844357976,793.6770428015565,-0.0064135359434618735,-0.007802110711971762,0.49068201569804676,257,0.9537569614812405,0.050549738546593614,0.812477607003891,0.13281244382012194
json,0.3716376883129775,509.10505836575874,657.5719844357976,-0.001900202055220255,-0.0027621055738881266,0.18290948833099407,257,0.9449170414455397,0.052155304188321615,0.8605714280155643,0.13905350325285587
keras,-0.2494523117460263,133.63035019455253,135.1945525291829,-0.002748027729374591,-0.004055747785566876,0.3382292617643008,257,0.8943432001664381,0.016568150714847275,0.7579859105058366,0.10220662272782727
kotlin,0.0617847554616049,278.5058365758755,356.78210116731515,0.0021816722969862042,0.0006084816083803904,0.22060655861784242,257,0.899297438745563,0.027662903766625686,0.8302999260700389,0.1791306260283546
kubernetes,-0.3049108939888829,171.9182879377432,224.4863813229572,0.0009550735976671568,-0.00104659514977314,0.22226651066012104,257,0.7350331087545083,0.021840979562275084,0.8623304863813229,0.13710486514026635
laravel,0.0331416656799929,472.72762645914395,615.431906614786,-0.0021714591405663443,-0.0034991067143576014,0.2177392472565272,257,0.897259315629105,0.02809261591393601,0.8311876653696498,0.19311976178333498
linux,-0.1180082008799319,253.3852140077821,287.1634241245136,-0.0009476676165530559,-0.0018958835462742256,0.1791892354707295,257,0.8255509591708307,0.08230958230958231,0.784795159533074,0.25405118437819507
list,1.1652431331488442,251.36964980544747,449.56420233463035,0.0008842776783294733,4.98528284578494e-05,0.1937859220012304,257,0.9573634179175758,0.1047335995789604,0.9276604357976653,0.33703057470483
loops,0.4070435815641886,161.26848249027236,244.10894941634243,-4.6276385085165404e-05,-0.0007408193291004485,0.18468895406745156,257,0.9632143811691509,0.06987405298460647,0.896765112840467,0.2179730504240141
machine-learning,-0.2426460625359708,121.31906614785993,128.38910505836577,-0.0026828094333263067,-0.00384616448544918,0.3113198716228687,257,0.778678515305548,0.040700471471182526,0.8004603891050583,0.10602010976566334
macos,-0.5258186019565344,127.23346303501945,145.52918287937743,-0.0018289944775516426,-0.002292968201876296,0.23096621029773018,257,0.7722594634337885,0.03997064130401541,0.7471108949416342,0.19472929491193547
matplotlib,0.1116362309922377,154.96887159533074,155.65369649805447,-0.00017587853462646772,-0.000929705111107629,0.2168294768697348,257,0.9303920572222907,0.07000276194541391,0.7781904280155644,0.1722712832746857
mongodb,-0.2094346087408063,298.6536964980545,314.26070038910507,-0.0003704176623351106,-0.0009431308552204648,0.15410688940175538,257,0.8875745776671481,0.029679234958438647,0.7871558404669259,0.15928785369821907
multithreading,-0.986497146415997,130.96887159533074,140.1945525291829,-0.002467376606920302,-0.0035955194030340997,0.23184812877755634,257,0.8732915706415544,0.052497103300751656,0.7604541945525293,0.09741173456646722
mysql,-0.0119100537262328,643.1011673151751,779.9688715953307,-0.003786090476661696,-0.004937832698892701,0.29996038914437606,257,0.8731436127705485,0.06450383295921393,0.812143120622568,0.19305490136039943
node.js,0.1064221564951898,937.5797665369649,1088.8132295719845,-0.0007623078536462082,-0.0018557301072439534,0.1415124466811386,257,0.8803202474076336,0.031026153935540635,0.7954361322957199,0.1575148699978842
numpy,0.5798751409036456,248.5408560311284,328.4046692607004,-9.831137204975996e-06,-0.0007332173166896126,0.1650062495768323,257,0.9401930497759106,0.04956555772994129,0.8528136303501944,0.271413367412906
opencv,-0.6557043932695598,114.49805447470817,109.85603112840467,-0.0017765475732632876,-0.0032139916493914436,0.23471002121512397,257,0.809183167407197,0.028648134302997348,0.7028796809338522,0.12870442957463907
oracle-database,0.231485258009526,213.48249027237355,293.2684824902724,-0.0023828915048654297,-0.0031773917011637576,0.2442041957048779,257,0.8082238932110707,0.03843980679850542,0.8730155058365758,0.2564313865357117
pandas,0.8646355847327883,799.8482490272373,1093.5175097276265,0.0015585805480462418,0.00101361069030789,0.19484574327361773,257,0.933114094601755,0.056863899280505545,0.8909306225680934,0.23111843966123488
php,-0.0530024053363186,1270.354085603113,1485.4708171206225,-0.004886684849407475,-0.006174579958834179,0.3738730628969959,257,0.9074954016427038,0.07445762540546004,0.7848472723735409,0.17732643488308028
postgresql,0.0090469414082173,323.9143968871595,370.6770428015564,0.0006813531449637886,-0.00023256182166310986,0.13678432303971608,257,0.871410945342341,0.023905052495014775,0.8183260583657588,0.20916600402983052
powershell,-0.0841930701551901,216.3501945525292,257.15953307392994,-0.00031591009994097556,-0.0013963151405486168,0.12828749666251152,257,0.886359189361182,0.03318225963094853,0.8324417392996109,0.2170462417606016
python,1.5155053868933794,4557.996108949416,5851.603112840467,0.0005952715713441185,-0.0002334351504494083,0.14382728536085257,257,0.9103530128607106,0.06436117312116646,0.8383517626459144,0.2244512707833259
python-3.x,0.7162969406516968,937.4863813229572,1202.988326848249,-0.0026475304645695755,-0.0034642703071323107,0.2982966211343132,257,0.9199559290263368,0.06618825072426474,0.8360548754863814,0.2422260109981845
r,0.4619074058245282,997.1322957198444,1224.7821011673152,-0.0003840638528419299,-0.00046183606105265596,0.15713973305300408,257,0.9261573326672409,0.06181540058455571,0.8301880505836577,0.20255564076794028
react-native,-0.3501349399494347,379.25291828793775,468.1750972762646,-0.00039507152353606377,-0.0015482870415565622,0.15475995523134606,257,0.8163918459446671,0.013101735954364509,0.7867739883268483,0.1378761052507454
reactjs,0.2688228025830724,1344.6108949416343,1756.5214007782101,0.002647053412858869,0.001421484179022104,0.2509241213840086,257,0.8967724136611415,0.026333685413742713,0.8339871167315174,0.1329779092072037
regex,0.9802304212256678,292.8832684824903,462.6692607003891,-0.0035726503607307687,-0.004050041534204788,0.3173176208182323,257,0.9458514214558785,0.12417797026743367,0.9306379688715953,0.3797017202882096
rest,-0.4859850437046596,122.49027237354086,136.3385214007782,-0.0029364402508197268,-0.003565821583111871,0.2651310673134056,257,0.771632733310246,0.028684879288437104,0.8052559455252919,0.10905383141567782
ruby,0.4603080231292742,147.91050583657588,189.1828793774319,-0.004276898654516487,-0.0052205565609330755,0.3431101689197776,257,0.9280409862960944,0.03067371688632836,0.8402213424124513,0.26014369978518126
ruby-on-rails,0.0302708394790086,207.68482490272373,235.96498054474708,-0.00480785203352689,-0.005768329076714626,0.378637171840746,257,0.910823623924618,0.01463231850117096,0.807611700389105,0.20289410142057387
scala,0.3439712611728827,143.42023346303503,170.97665369649806,-0.005345100877322725,-0.006663753573910092,0.42407630682480546,257,0.9261071795130966,0.03147128245476003,0.8358657237354087,0.23971486758105212
selenium,0.0750129390583791,207.33463035019454,262.8988326848249,-0.00034115940864793445,-0.0015421407456519185,0.14554425141767666,257,0.867415254734543,0.04515342028713522,0.8286486070038911,0.1718549207618226
shell,0.6831617194501317,114.97665369649805,154.12062256809338,-0.0020703100894046804,-0.0027023542256663117,0.2102052278112066,257,0.9153161433929395,0.10562117161325256,0.8507560233463035,0.3735250373983857
spring,-0.645884877197608,308.8054474708171,353.21789883268485,-0.002662024154684996,-0.003741038387502393,0.23313724607526112,257,0.8765551978337227,0.025981880725275002,0.7829301945525291,0.1146226439920585
spring-boot,-0.6374092543835994,384.74708171206225,442.50972762645915,-0.0005053291577525243,-0.0017261224218176417,0.14840397821651488,257,0.8650401320188447,0.022866100323624596,0.7840959377431906,0.1073792568037611
sql,0.5878728743219979,900.1439688715953,1308.9338521400778,-0.00151572347997021,-0.00286358709010894,0.16572918568834014,257,0.8732277888165875,0.044381140932924695,0.8947806848249028,0.2519880149966499
sql-server,-0.1225456436497122,414.568093385214,561.3657587548638,-0.003780155470294675,-0.005319859256277119,0.30344655131212633,257,0.8301754147030473,0.04185125394203334,0.832004046692607,0.19535692182362321
string,1.0622467500568022,226.17120622568095,389.6575875486381,-0.001152097624124945,-0.0020843519524369157,0.1763183219086198,257,0.9331547963656215,0.11722809069951484,0.914949073929961,0.35670376099759116
swift,-0.0980974833831817,574.8871595330739,692.5369649805448,-0.004057470522142351,-0.0055259707198467315,0.3291544674649999,257,0.861860992301445,0.039547601965535445,0.8034651906614786,0.1497640609853474
swiftui,-1.7749591079186724,158.06521739130434,209.25,0.0018977090440681424,-0.0023096477896676756,0.4040121653303904,184,0.9282119328655167,0.024343281529363225,0.8267956847826087,0.12540687040068196
tensorflow,-0.2658503222944539,226.73540856031127,227.54474708171207,-0.00315183913997732,-0.004182578800017132,0.2962970591685376,257,0.8559138589868874,0.014827272571261863,0.7555296031128405,0.11856556040476653
tkinter,0.0061753638332629,115.27626459143968,116.8715953307393,0.0015379554285694366,0.0006035045568279485,0.2538971419853562,257,0.9354737536247129,0.05842840747991629,0.7944134591439689,0.14384885372980302
typescript,0.401398994119196,596.0817120622568,767.6420233463035,0.0013618653920165855,5.806860510813382e-05,0.1445526391246784,257,0.945736953406137,0.03139830148897143,0.8415677937743191,0.1841461731675567
unity-game-engine,-0.3706545569213798,155.16342412451363,176.6070038910506,-0.0007044903527305505,-0.0008815266322279148,0.19203771891946717,257,0.7092623469703654,0.04566542117009805,0.8279327587548638,0.11790427223290492
vba,-0.3456402924748631,341.84435797665367,383.5719844357977,-0.003700289398906704,-0.004653229877626078,0.3121478549453894,257,0.8821995132396808,0.02730666788080224,0.8012270428015565,0.16372298281907982
visual-studio,-0.5607426113004864,146.8443579766537,160.69649805447472,-0.0021098376078867247,-0.002703371224860282,0.21526073022975845,257,0.6002648159358979,0.038819258591907574,0.7581441984435797,0.12765257555854304
visual-studio-code,-0.2264298241485701,162.9727626459144,225.37354085603113,0.0037532977515675864,0.0016490134066564298,0.3209504799991684,257,0.6428614452820403,0.043644351064845766,0.7799009727626459,0.21077112932092543
vue.js,0.0771994691424347,331.25291828793775,399.60700389105057,-0.0001837018815416744,-0.0013116220316760172,0.2144274100013642,257,0.9161382760647974,0.01711459850584974,0.8255800505836576,0.15747066833307594
web-scraping,0.1856082512533589,121.99610894941634,148.00389105058366,0.0012256420606960201,0.0006753575057398311,0.21581857147413466,257,0.9111098864446793,0.028482122922846298,0.8684790933852139,0.12911766430222704
windows,-0.5546078527243149,177.17120622568095,186.59143968871595,-0.0013657672330651175,-0.00237911325472738,0.1789543156579422,257,0.7202740295132571,0.049217051369336524,0.7413788677042802,0.18144221967322754
wordpress,-0.6481104603555182,250.10894941634243,261.97665369649803,-0.003265222588285612,-0.004169116983514243,0.28170612826192715,257,0.7304154095378841,0.028407853386850868,0.7843388638132296,0.15469187266362586
wpf,-0.4180080180530354,124.35408560311284,127.70817120622569,-0.004464116626794865,-0.00507982120658305,0.3627501277646205,257,0.8778142642965027,0.05463249788791889,0.7947716848249028,0.08653486406849852
xcode,-0.5294282601927262,148.80933852140078,181.72762645914398,-0.0027421998631130956,-0.0038166383408959506,0.2937056248153078,257,0.6824357263659772,0.033024788202070915,0.7633540428015565,0.13352627637724435
xml,-0.1510403945751972,182.40077821011673,207.12062256809338,-0.003234454420429068,-0.003928178120396606,0.2777081089248687,257,0.916044028404472,0.036734432664206326,0.8248201984435798,0.10702077677525461
