tag,n_raw_json_files,n_question_tag_rows_2025,n_unique_questions_2025,n_weeks_observed_2025,first_observed_date,last_observed_date,missing_weeks,failed_windows,page_cap_hit,suspicious_flag,status
flask,4,337,337,51,2025-01-01 18:07:36,2025-12-24 18:58:26,2025-10-13;2025-12-29,0,0,missing_observed_weeks,ok
flutter,31,3091,3091,53,2025-01-01 00:56:14,2025-12-31 09:26:00,,0,0,,ok
for-loop,2,150,150,44,2025-01-01 18:36:58,2025-12-22 00:28:26,2025-03-10;2025-05-26;2025-07-28;2025-09-08;2025-10-27;2025-11-10;2025-11-17;2025-12-15;2025-12-29,0,0,missing_observed_weeks,ok
function,3,273,273,53,2025-01-01 00:27:08,2025-12-29 15:42:22,,0,0,,ok
ggplot2,6,596,596,53,2025-01-01 22:52:45,2025-12-30 05:29:30,,0,0,,ok
git,10,911,911,53,2025-01-02 04:43:38,2025-12-31 18:08:06,,0,0,,ok
go,7,657,657,53,2025-01-01 05:15:10,2025-12-31 12:41:24,,0,0,,ok
google-apps-script,5,479,479,52,2025-01-01 06:28:05,2025-12-23 18:41:11,2025-12-29,0,0,missing_observed_weeks,ok
google-cloud-firestore,3,235,235,46,2025-01-02 04:57:52,2025-12-22 17:49:33,2025-06-16;2025-08-04;2025-09-15;2025-11-17;2025-12-01;2025-12-15;2025-12-29,0,0,missing_observed_weeks,ok
google-cloud-platform,8,713,713,52,2025-01-01 12:11:54,2025-12-30 11:02:08,2025-12-22,0,0,missing_observed_weeks,ok
google-sheets,7,619,619,51,2025-01-01 02:54:12,2025-12-27 00:55:05,2025-12-15;2025-12-29,0,0,missing_observed_weeks,ok
html,31,3031,3031,53,2025-01-01 00:39:24,2025-12-31 16:53:13,,0,0,,ok
ios,26,2562,2562,53,2025-01-01 00:51:04,2025-12-31 21:54:13,,0,0,,ok
java,58,5713,5713,53,2025-01-01 01:08:48,2025-12-31 13:52:54,,0,0,,ok
javascript,63,6263,6263,53,2025-01-01 00:39:24,2025-12-31 21:35:06,,0,0,,ok
jquery,5,404,404,52,2025-01-01 17:34:05,2025-12-30 14:07:33,2025-11-03,0,0,missing_observed_weeks,ok
json,9,895,895,53,2025-01-01 05:15:10,2025-12-31 22:09:50,,0,0,,ok
keras,2,160,160,47,2025-01-02 19:05:01,2025-12-31 03:36:49,2025-04-28;2025-06-09;2025-06-30;2025-08-18;2025-10-20;2025-12-08,0,0,missing_observed_weeks,ok
kotlin,18,1722,1722,53,2025-01-01 07:28:23,2025-12-31 03:05:33,,0,0,,ok
kubernetes,5,429,429,52,2025-01-01 15:19:30,2025-12-29 14:13:23,2025-10-06,0,0,missing_observed_weeks,ok
laravel,12,1166,1166,53,2025-01-01 15:39:48,2025-12-31 22:09:50,,0,0,,ok
linux,10,953,953,53,2025-01-01 01:05:55,2025-12-31 09:38:51,,0,0,,ok
list,3,250,250,51,2025-01-02 20:07:08,2025-12-31 06:42:59,2025-10-20;2025-12-01,0,0,missing_observed_weeks,ok
loops,17,184,184,46,2025-01-02 03:00:10,2025-12-10 17:30:01,2025-06-30;2025-09-08;2025-11-17;2025-12-01;2025-12-15;2025-12-22;2025-12-29,0,0,missing_observed_weeks,ok
machine-learning,4,351,351,51,2025-01-01 00:37:11,2025-12-31 01:50:57,2025-10-20;2025-11-17,0,0,missing_observed_weeks,ok
macos,9,832,832,53,2025-01-01 16:43:07,2025-12-30 21:09:38,,0,0,,ok
matplotlib,5,457,457,52,2025-01-01 03:14:36,2025-12-27 23:44:41,2025-12-29,0,0,missing_observed_weeks,ok
mongodb,5,493,493,53,2025-01-01 01:10:29,2025-12-29 18:35:53,,0,0,,ok
multithreading,6,558,558,53,2025-01-01 16:16:44,2025-12-31 03:28:49,,0,0,,ok
mysql,6,520,520,53,2025-01-01 22:14:13,2025-12-30 16:49:46,,0,0,,ok
node.js,21,2065,2065,53,2025-01-01 01:01:25,2025-12-31 17:04:04,,0,0,,ok
numpy,6,573,573,53,2025-01-01 17:29:54,2025-12-31 01:50:57,,0,0,,ok
opencv,17,192,192,47,2025-01-03 14:47:31,2025-12-09 12:45:06,2025-05-05;2025-10-20;2025-11-24;2025-12-15;2025-12-22;2025-12-29,0,0,missing_observed_weeks,ok
oracle-database,6,558,558,52,2025-01-02 09:11:06,2025-12-26 09:03:17,2025-12-29,0,0,missing_observed_weeks,ok
pandas,11,1064,1064,53,2025-01-01 16:23:47,2025-12-31 13:46:20,,0,0,,ok
php,22,2165,2165,53,2025-01-01 12:51:01,2025-12-30 15:19:35,,0,0,,ok
postgresql,41,1517,1517,53,2025-01-01 09:01:58,2025-12-31 16:00:40,,0,0,,ok
powershell,12,1128,1128,53,2025-01-01 00:28:42,2025-12-31 15:39:50,,0,0,,ok
python,137,13603,13603,53,2025-01-01 00:37:11,2025-12-31 23:14:43,,0,0,,ok
python-3.x,10,970,970,53,2025-01-01 06:13:17,2025-12-30 11:08:28,,0,0,,ok
r,33,3268,3268,53,2025-01-01 01:36:06,2025-12-31 18:36:35,,0,0,,ok
react-native,19,1838,1838,53,2025-01-01 01:07:07,2025-12-31 11:29:03,,0,0,,ok
reactjs,33,3267,3267,53,2025-01-01 01:46:45,2025-12-31 17:26:11,,0,0,,ok
regex,5,500,500,53,2025-01-02 09:41:17,2025-12-30 13:37:14,,0,0,,ok
rest,4,353,353,52,2025-01-02 01:11:02,2025-12-30 21:03:29,2025-11-24,0,0,missing_observed_weeks,ok
ruby,3,284,284,50,2025-01-03 13:44:35,2025-12-31 01:47:04,2025-06-30;2025-09-08;2025-12-01,0,0,missing_observed_weeks,ok
ruby-on-rails,5,423,423,51,2025-01-02 17:35:39,2025-12-26 11:29:29,2025-12-15;2025-12-29,0,0,missing_observed_weeks,ok
scala,3,256,256,50,2025-01-02 12:17:29,2025-12-31 06:21:27,2025-07-28;2025-10-27;2025-12-01,0,0,missing_observed_weeks,ok
selenium,17,632,632,52,2025-01-01 12:26:07,2025-12-29 15:42:11,2025-12-22,0,0,missing_observed_weeks,ok
shell,3,254,254,51,2025-01-01 16:43:07,2025-12-31 03:54:33,2025-11-17;2025-12-15,0,0,missing_observed_weeks,ok
spring,13,1266,1266,53,2025-01-01 12:26:31,2025-12-31 15:50:47,,0,0,,ok
spring-boot,23,2237,2237,53,2025-01-01 04:28:22,2025-12-31 15:50:47,,0,0,,ok
sql,20,1919,1919,53,2025-01-02 06:04:05,2025-12-30 16:49:46,,0,0,,ok
sql-server,12,1109,1109,52,2025-01-01 12:49:18,2025-12-27 18:05:46,2025-12-29,0,0,missing_observed_weeks,ok
string,4,329,329,52,2025-01-01 01:08:54,2025-12-31 18:36:35,2025-12-22,0,0,missing_observed_weeks,ok
swift,20,1971,1971,53,2025-01-01 07:57:15,2025-12-31 09:32:07,,0,0,,ok
swiftui,16,1548,1548,53,2025-01-01 09:49:25,2025-12-30 11:35:54,,0,0,,ok
tensorflow,4,350,350,53,2025-01-01 00:37:11,2025-12-31 03:36:49,,0,0,,ok
tkinter,4,324,324,51,2025-01-01 16:26:38,2025-12-28 23:41:36,2025-12-15;2025-12-29,0,0,missing_observed_weeks,ok
typescript,31,3009,3009,53,2025-01-01 00:33:09,2025-12-31 22:09:50,,0,0,,ok
unity-game-engine,6,586,586,53,2025-01-01 15:49:06,2025-12-30 13:53:00,,0,0,,ok
vba,13,1275,1275,53,2025-01-01 07:09:44,2025-12-30 17:43:49,,0,0,,ok
visual-studio,8,723,723,53,2025-01-01 12:46:03,2025-12-30 14:29:45,,0,0,,ok
visual-studio-code,15,1430,1430,53,2025-01-01 20:25:38,2025-12-30 16:55:26,,0,0,,ok
vue.js,7,648,648,52,2025-01-03 00:28:33,2025-12-31 09:04:03,2025-12-01,0,0,missing_observed_weeks,ok
web-scraping,3,276,276,51,2025-01-01 01:09:11,2025-12-26 18:33:05,2025-09-15;2025-12-29,0,0,missing_observed_weeks,ok
windows,14,1309,1309,53,2025-01-01 11:14:26,2025-12-31 09:13:05,,0,0,,ok
wordpress,7,629,629,53,2025-01-01 16:18:09,2025-12-31 17:54:16,,0,0,,ok
wpf,4,393,393,51,2025-01-02 04:14:58,2025-12-28 08:52:06,2025-12-01;2025-12-29,0,0,missing_observed_weeks,ok
xcode,6,556,556,53,2025-01-01 19:53:38,2025-12-31 21:54:13,,0,0,,ok
xml,6,526,526,53,2025-01-01 12:05:12,2025-12-30 16:44:16,,0,0,,ok
