question_type,is_substitutable,outcome,label,n_cells,beta,se,p,ci_low,ci_high,n_obs
debugging_simple,1,answered_questions,Answered,25458,-0.10415679531234802,0.038183009459743684,0.0075435281606208715,-0.179920169944956,-0.028393420679740045,25458
debugging_simple,1,accepted_answer_questions,Accepted answer,25458,-0.13062742353692766,0.038296452683746915,0.0009384172053190643,-0.20661589413764547,-0.054638952936209864,25458
debugging_simple,1,accepted_nonclosed_questions,"Accepted, not closed",25458,-0.12803917198026854,0.039006332174081254,0.0014221393321383058,-0.20543619749929126,-0.05064214646124582,25458
debugging_simple,1,accepted_nonnegative_questions,"Accepted, score >= 0",25458,-0.12064073432704182,0.04012784899686922,0.0033502915637115827,-0.20026309253732977,-0.04101837611675388,25458
debugging_simple,1,reusable_artifacts,Reusable artifact,25458,-0.11812420594108304,0.04074353152597568,0.004607894979165694,-0.19896821186241961,-0.03728020001974647,25458
other_conceptual,1,questions_count,Questions,25044,-0.07468672327421072,0.03954973695124701,0.06189647971246437,-0.15316198176365875,0.0037885352152373236,25044
other_conceptual,1,answered_questions,Answered,25044,-0.0719043847857674,0.040968563923131834,0.08233377921091711,-0.15319490380419734,0.009386134232662546,25044
other_conceptual,1,accepted_answer_questions,Accepted answer,25044,-0.11833022846259106,0.04601671916210337,0.0116138863950217,-0.2096373826804281,-0.027023074244754003,25044
other_conceptual,1,accepted_nonclosed_questions,"Accepted, not closed",25044,-0.11580576160594372,0.04897329490242558,0.019996643654818236,-0.21297940352637726,-0.01863211968551018,25044
other_conceptual,1,accepted_nonnegative_questions,"Accepted, score >= 0",25044,-0.10242532190779452,0.05182441172853149,0.05089288076327003,-0.2052561981655407,0.0004055543499516395,25044
other_conceptual,1,reusable_artifacts,Reusable artifact,25044,-0.10213564458244763,0.052783579977281926,0.05584550886332229,-0.20686971873878784,0.0025984295738925994,25044
version_environment_specific,0,questions_count,Questions,22866,-0.00687530154739658,0.04627497751841535,0.8821912710178883,-0.0986948963737167,0.08494429327892353,22866
version_environment_specific,0,answered_questions,Answered,22866,-0.0006230089903050486,0.04786617314041269,0.9896415065091868,-0.0955998811430824,0.0943538631624723,22866
version_environment_specific,0,accepted_answer_questions,Accepted answer,22866,-0.04025106476130478,0.051593274798236784,0.43715736460740917,-0.14262331520382251,0.06212118568121296,22866
version_environment_specific,0,accepted_nonclosed_questions,"Accepted, not closed",22866,-0.03895503959025927,0.05255617666394791,0.46032213400539757,-0.1432378962374352,0.06532781705691668,22866
version_environment_specific,0,accepted_nonnegative_questions,"Accepted, score >= 0",22866,-0.036784175614226665,0.054494303753961304,0.5012431449106352,-0.14491269688773606,0.07134434565928272,22866
version_environment_specific,0,reusable_artifacts,Reusable artifact,22866,-0.0350425170581736,0.05474260011516139,0.523565223538824,-0.14366371218059343,0.07357867806424621,22866
advanced_architecture,0,questions_count,Questions,13009,-0.1640003111933056,0.04221541740888747,0.0001850871689235145,-0.2477648580343165,-0.08023576435229471,13009
advanced_architecture,0,answered_questions,Answered,13009,-0.14374972715624246,0.0443078738457918,0.0016059105381378558,-0.23166616152981503,-0.05583329278266988,13009
advanced_architecture,0,accepted_answer_questions,Accepted answer,13009,-0.15505043239671532,0.04131187144598669,0.00029459070458548453,-0.23702214802160101,-0.07307871677182962,13009
advanced_architecture,0,accepted_nonclosed_questions,"Accepted, not closed",13009,-0.15457290096201823,0.042259653300015396,0.0004099735737550514,-0.23842522140807368,-0.07072058051596278,13009
advanced_architecture,0,accepted_nonnegative_questions,"Accepted, score >= 0",13009,-0.15522286019376935,0.04296267677709784,0.0004777119063741342,-0.24047013174041504,-0.06997558864712368,13009
advanced_architecture,0,reusable_artifacts,Reusable artifact,13009,-0.15616099764946342,0.04357252077335475,0.0005272247564538368,-0.24261833199130525,-0.0697036633076216,13009
