tag,outcome,pretrend_slope,pretrend_p_value,n_weeks,ai_answerability_zscore
angular,log_answers,-0.005768660973446395,6.561537477478846e-132,257,0.1137624514570828
angular,code_share,-4.531401393837588e-05,0.001402314169877604,257,0.1137624514570828
angular,short_code_share,-0.00012222442321752078,6.821459518031491e-19,257,0.1137624514570828
apache-spark,log_questions,-0.002986338328020007,1.0306653690164467e-66,257,-0.2052355048131066
apache-spark,log_answers,-0.0035751181351125465,1.0168123813928091e-69,257,-0.2052355048131066
apache-spark,code_share,-5.217034838109656e-05,0.05731619368389442,257,-0.2052355048131066
apache-spark,short_code_share,-0.00015848259216710424,2.763776623957458e-09,257,-0.2052355048131066
arrays,log_questions,-0.0011473096061177244,6.522646907728432e-19,257,0.7639486316081535
arrays,log_answers,-0.0022509109178629238,1.3711467848051487e-56,257,0.7639486316081535
arrays,code_share,-7.038231047736444e-05,2.8937974641101265e-16,257,0.7639486316081535
arrays,short_code_share,-0.00021488145708383974,3.2424031711938787e-35,257,0.7639486316081535
asp.net,log_questions,-0.004363304873414876,1.5423024593534394e-119,257,-0.7182458623252016
asp.net,log_answers,-0.0049104154708998786,2.6561427165051577e-117,257,-0.7182458623252016
asp.net,code_share,-7.706858523344357e-06,0.7756497423486115,257,-0.7182458623252016
asp.net,short_code_share,-9.16009008497672e-05,8.491658655518277e-05,257,-0.7182458623252016
asp.net-core,log_questions,-0.000360018519827251,0.06673603697608847,257,-0.3608945357200452
asp.net-core,log_answers,-0.001674391322615105,6.627649466691437e-15,257,-0.3608945357200452
asp.net-core,code_share,9.188179559505946e-05,4.3768013980051266e-05,257,-0.3608945357200452
asp.net-core,short_code_share,-6.79904040016249e-05,0.0002387940359552316,257,-0.3608945357200452
asp.net-mvc,log_questions,-0.005821287009480196,2.185596645121746e-132,257,-0.528370258586997
asp.net-mvc,log_answers,-0.006362777576064875,4.348142395091853e-126,257,-0.528370258586997
asp.net-mvc,code_share,-3.446361971483201e-05,0.24875977742655528,257,-0.528370258586997
asp.net-mvc,short_code_share,-3.8161449656185654e-05,0.17072051544232522,257,-0.528370258586997
azure,log_questions,-5.270663769129998e-05,0.6661023900348151,257,-0.2501872760217949
azure,log_answers,-0.0007983677614890276,3.350983622490969e-09,257,-0.2501872760217949
azure,code_share,0.000158529027973725,6.269865291842469e-08,257,-0.2501872760217949
azure,short_code_share,-2.6230285665478012e-05,0.07596420901848393,257,-0.2501872760217949
bash,log_questions,-0.0016432549076892907,9.249962872346115e-30,257,0.7559093071027364
bash,log_answers,-0.0022365665945406087,4.646803990758365e-44,257,0.7559093071027364
bash,code_share,4.5030882232137416e-05,0.0014145670300518515,257,0.7559093071027364
bash,short_code_share,-0.00030606368886740526,1.0489945140269807e-20,257,0.7559093071027364
c,log_questions,-0.0008386597277934421,5.823134834367934e-07,257,-0.0753495881644568
c,log_answers,-0.0018374424435413934,2.5664572881468157e-27,257,-0.0753495881644568
c,code_share,5.965253489349937e-05,3.981187060915188e-07,257,-0.0753495881644568
c,short_code_share,-0.00013168168120378503,4.747844899591961e-11,257,-0.0753495881644568
c#,log_questions,-0.002899936746605304,1.1824251560615433e-99,257,0.0248330661705128
c#,log_answers,-0.0036910563132728437,4.4153744451539815e-118,257,0.0248330661705128
c#,code_share,3.438903594735159e-06,0.720503021460148,257,0.0248330661705128
c#,short_code_share,-9.748913339186576e-05,9.391540010666862e-22,257,0.0248330661705128
c++,log_questions,-0.0013515385469929544,4.178046927105782e-20,257,-0.0714908118943149
c++,log_answers,-0.0026182222835441195,5.684175979242463e-52,257,-0.0714908118943149
c++,code_share,6.199742837285635e-05,1.0415361462541803e-09,257,-0.0714908118943149
c++,short_code_share,-5.316733045061595e-05,9.772537431292585e-05,257,-0.0714908118943149
css,log_questions,-0.001522767049780864,1.1598816269851156e-42,257,0.2297476209187957
css,log_answers,-0.0024023425723612405,3.416420288473208e-80,257,0.2297476209187957
css,code_share,-5.5529567098774444e-05,1.030728352513825e-07,257,0.2297476209187957
css,short_code_share,-9.065630737889182e-05,8.967630593107938e-17,257,0.2297476209187957
csv,log_questions,-0.0011037337511050492,1.0134097710388742e-14,257,0.1258568790510962
csv,log_answers,-0.001950070809357339,1.4175574100445842e-33,257,0.1258568790510962
csv,code_share,-0.00017117586244786773,1.330573715463848e-09,257,0.1258568790510962
csv,short_code_share,-0.0001396754689434405,8.19806759722293e-07,257,0.1258568790510962
dart,log_questions,0.0073558356986729535,4.692437557981677e-60,257,0.6326311000504187
dart,log_answers,0.004254726599611674,3.578096462500513e-33,257,0.6326311000504187
dart,code_share,0.00018289738160882425,5.825662921943926e-09,257,0.6326311000504187
dart,short_code_share,-0.00029844107358230484,2.8961119671955342e-18,257,0.6326311000504187
database,log_questions,-0.002326285156622392,1.1876110513479383e-27,257,-0.2595165061759353
database,log_answers,-0.0033443480685248794,1.1499309966707972e-43,257,-0.2595165061759353
database,code_share,-5.340258748427257e-05,0.10370420142573386,257,-0.2595165061759353
database,short_code_share,-0.00011118926205885062,2.9899108454907656e-06,257,-0.2595165061759353
dataframe,log_questions,0.003235683505578288,2.04130229482281e-68,257,0.8204713566166805
dataframe,log_answers,0.0026658487175559875,5.832457368429683e-58,257,0.8204713566166805
dataframe,code_share,-0.00035856418848550787,1.9721417879453538e-72,257,0.8204713566166805
dataframe,short_code_share,-0.00031606024804621595,1.6140620159846378e-41,257,0.8204713566166805
dictionary,log_questions,0.000503223494076563,0.000499933287385084,257,0.9067890714994792
dictionary,log_answers,-0.00032474543910659086,0.025133133672609716,257,0.9067890714994792
dictionary,code_share,-1.7321385013162992e-05,0.18370580975968873,257,0.9067890714994792
dictionary,short_code_share,-0.00018429579430860856,4.5860677939383834e-08,257,0.9067890714994792
django,log_questions,-0.0006522731329724377,3.6897835643737824e-06,257,0.0903252949973694
django,log_answers,-0.0013137211867827246,4.3852683151822914e-18,257,0.0903252949973694
django,code_share,-2.1517749760987085e-05,0.07010480417906108,257,0.0903252949973694
django,short_code_share,-0.00011337619386837123,3.937696017829141e-12,257,0.0903252949973694
docker,log_questions,0.00011274700949634193,0.2887129524491558,257,-0.5660096240941873
docker,log_answers,-0.0014755312201442622,1.2747266167491602e-28,257,-0.5660096240941873
docker,code_share,0.0002470410048860269,1.2379475177602806e-28,257,-0.5660096240941873
docker,short_code_share,-0.00017037436479755636,2.769298657760244e-22,257,-0.5660096240941873
excel,log_questions,-0.0025813445866505074,5.432047617139789e-65,257,-0.3160263050631642
excel,log_answers,-0.0034748049362735784,4.2298785449072994e-95,257,-0.3160263050631642
excel,code_share,-0.0004126655901317696,1.5780223679155885e-38,257,-0.3160263050631642
excel,short_code_share,-0.00020780664274761806,9.005050519788893e-29,257,-0.3160263050631642
express,log_questions,-0.00036284989236885947,0.0055818506010206215,257,-0.1995481546892842
express,log_answers,-0.0014341876877961065,1.2667151763236259e-18,257,-0.1995481546892842
express,code_share,8.810714510510146e-06,0.6487600735546322,257,-0.1995481546892842
express,short_code_share,-0.00010425818186590449,1.363100511033607e-07,257,-0.1995481546892842
firebase,log_questions,-0.001766708807119949,5.198206151799334e-32,257,-0.1674886970496735
firebase,log_answers,-0.0027230616789940096,5.1991219113924705e-53,257,-0.1674886970496735
firebase,code_share,8.632224620951484e-06,0.670573123185464,257,-0.1674886970496735
firebase,short_code_share,-5.555375438443716e-05,0.00022687034001146405,257,-0.1674886970496735
flask,log_questions,-0.0009096741004645095,0.0004515685752082127,257,-0.1434386676834025
flask,log_answers,-0.0016635026463649159,5.120612129693045e-10,257,-0.1434386676834025
flask,code_share,2.9430589189637326e-06,0.8999815034225273,257,-0.1434386676834025
flask,short_code_share,-0.0001312051877751762,9.472810237783519e-07,257,-0.1434386676834025
flutter,log_questions,0.008699722021198576,6.747513804806848e-60,257,0.3984571563997818
flutter,log_answers,0.005069099159324342,1.3025095335716287e-39,257,0.3984571563997818
flutter,code_share,0.00014129719346207286,4.470911486482711e-07,257,0.3984571563997818
flutter,short_code_share,-0.0002586866992441421,8.062083370055709e-34,257,0.3984571563997818
for-loop,log_questions,0.0006015264165452111,0.0001083297631752563,257,0.5585224920647861
for-loop,log_answers,-0.0002967930529350817,0.06957408172242069,257,0.5585224920647861
for-loop,code_share,-7.594170142544561e-05,4.868403013146681e-10,257,0.5585224920647861
for-loop,short_code_share,-0.00011359136685957297,0.0007411874573073427,257,0.5585224920647861
function,log_questions,0.00024007558721085047,0.12357376827918734,257,0.3977453793731797
function,log_answers,-0.0006735495594007789,2.4086627310872037e-05,257,0.3977453793731797
function,code_share,-6.508868221796246e-05,8.030500590241622e-05,257,0.3977453793731797
function,short_code_share,-6.273291205919668e-05,0.04277245215388842,257,0.3977453793731797
ggplot2,log_questions,0.0005817084581337718,0.0005317501420691822,257,0.2112415808697754
ggplot2,log_answers,0.0004880210598251997,0.0061167336656624905,257,0.2112415808697754
ggplot2,code_share,-5.5261406514066575e-05,0.0004106289817184651,257,0.2112415808697754
ggplot2,short_code_share,-5.860974046064262e-05,0.0356287639135621,257,0.2112415808697754
git,log_questions,-0.0020703705801637597,2.5660894274076263e-44,257,0.128001572530122
git,log_answers,-0.003106689862314755,8.379459176814469e-68,257,0.128001572530122
git,code_share,9.084778911500517e-05,0.0023933025699125567,257,0.128001572530122
git,short_code_share,-5.9361590292404925e-05,0.012383589905943185,257,0.128001572530122
go,log_questions,0.00031057040336607196,0.005353468499101375,257,0.3788353001228974
go,log_answers,-0.0008294525706861731,4.64061445264024e-10,257,0.3788353001228974
go,code_share,2.547965031867582e-05,0.19213993820912242,257,0.3788353001228974
go,short_code_share,-0.0002154284418070184,1.501402883758986e-10,257,0.3788353001228974
google-apps-script,log_questions,0.0012634713734353163,2.8915478088762438e-12,257,-0.207885540963443
google-apps-script,log_answers,0.0017290260155941675,2.765480478156385e-16,257,-0.207885540963443
google-apps-script,code_share,4.21440124974914e-05,0.2357433960079055,257,-0.207885540963443
google-apps-script,short_code_share,-0.0002005185407699878,2.020656288123814e-13,257,-0.207885540963443
google-cloud-firestore,log_questions,0.0015379440812894783,4.7095496426607375e-12,257,0.1037382000785874
google-cloud-firestore,log_answers,0.000436232939053757,0.048822931818092094,257,0.1037382000785874
google-cloud-firestore,code_share,0.0001649209933478351,2.1017278985388397e-09,257,0.1037382000785874
google-cloud-firestore,short_code_share,-0.00016702794288950824,2.8488893864003486e-10,257,0.1037382000785874
google-cloud-platform,log_questions,0.001034473762572845,2.3480432896187682e-12,257,-0.1833202297026911
google-cloud-platform,log_answers,-0.0002489490337264491,0.1142142511228109,257,-0.1833202297026911
google-cloud-platform,code_share,0.00017843447929831495,6.004998490377199e-06,257,-0.1833202297026911
google-cloud-platform,short_code_share,-8.72880265605111e-05,0.0005857666841618401,257,-0.1833202297026911
google-sheets,log_questions,0.0031532824998655867,6.224004599219142e-45,257,0.1840420193675504
google-sheets,log_answers,0.0034972090339467983,2.747379737351283e-46,257,0.1840420193675504
google-sheets,code_share,-0.0005334632734535633,1.4024662431355147e-28,257,0.1840420193675504
google-sheets,short_code_share,-0.0003217221969319938,2.5986428326061527e-21,257,0.1840420193675504
html,log_questions,-0.001986814092754857,2.0477170945580716e-59,257,0.3266961594923233
html,log_answers,-0.0028991479360383618,1.2179496449413376e-97,257,0.3266961594923233
html,code_share,-3.323724457752596e-05,2.8530009607900534e-05,257,0.3266961594923233
html,short_code_share,-0.00011420122944152729,1.6609083683364445e-32,257,0.3266961594923233
ios,log_questions,-0.00503011596163105,1.2891128960630261e-133,257,-0.5277913559594533
ios,log_answers,-0.006332148642652523,3.649150074839035e-136,257,-0.5277913559594533
ios,code_share,6.061295290304922e-05,0.005544209692022431,257,-0.5277913559594533
ios,short_code_share,-0.0001823745271856352,3.56705716289206e-29,257,-0.5277913559594533
java,log_questions,-0.003600806272196025,2.431910332984047e-103,257,0.1368412137614545
java,log_answers,-0.004721201842659671,7.357201232124427e-127,257,0.1368412137614545
java,code_share,-1.1492197327740456e-05,0.2522095107097367,257,0.1368412137614545
java,short_code_share,-0.00013603511405456883,6.318117479083776e-50,257,0.1368412137614545
javascript,log_questions,-0.0013484819537705904,2.2905251431809535e-35,257,0.9711433604039796
javascript,log_answers,-0.0023760944381480847,4.259398398465767e-76,257,0.9711433604039796
javascript,code_share,5.400291273001319e-06,0.38646069543515976,257,0.9711433604039796
javascript,short_code_share,-0.00015055883244415543,8.375384714771371e-63,257,0.9711433604039796
jquery,log_questions,-0.0064135359434618735,1.3083548045449594e-161,257,-0.0491747361173036
jquery,log_answers,-0.007802110711971762,2.5997026197224605e-189,257,-0.0491747361173036
jquery,code_share,1.1606738530993248e-05,0.22731947196516983,257,-0.0491747361173036
jquery,short_code_share,-0.00018657412328753543,1.5011799642480535e-34,257,-0.0491747361173036
json,log_questions,-0.001900202055220255,3.762438576924072e-52,257,0.3716376883129775
json,log_answers,-0.0027621055738881266,1.3979083922927423e-83,257,0.3716376883129775
json,code_share,-1.91640722272157e-05,0.05162111858343117,257,0.3716376883129775
json,short_code_share,-0.00020248138097126104,6.21930900290939e-34,257,0.3716376883129775
keras,log_questions,-0.002748027729374591,6.167100830727647e-27,257,-0.2494523117460263
keras,log_answers,-0.004055747785566876,1.7088119479920558e-42,257,-0.2494523117460263
keras,code_share,0.0002590855402798442,7.107692882848391e-25,257,-0.2494523117460263
keras,short_code_share,-0.00016263186375300472,2.0203413930684796e-11,257,-0.2494523117460263
kotlin,log_questions,0.0021816722969862042,6.083430337727437e-45,257,0.0617847554616049
kotlin,log_answers,0.0006084816083803904,2.9978526227139145e-06,257,0.0617847554616049
kotlin,code_share,-0.00023049261567775149,1.907737641821162e-30,257,0.0617847554616049
kotlin,short_code_share,-0.0003123541357063117,1.0381890843017425e-34,257,0.0617847554616049
kubernetes,log_questions,0.0009550735976671568,1.665100150036594e-07,257,-0.3049108939888829
kubernetes,log_answers,-0.00104659514977314,2.4406563954508857e-07,257,-0.3049108939888829
kubernetes,code_share,0.00031642215724083023,1.8631244743324846e-18,257,-0.3049108939888829
kubernetes,short_code_share,-7.83368757455024e-05,0.0009678927269543971,257,-0.3049108939888829
laravel,log_questions,-0.0021714591405663443,4.652669908347262e-46,257,0.0331416656799929
laravel,log_answers,-0.0034991067143576014,5.43525825958476e-83,257,0.0331416656799929
laravel,code_share,9.116965294104937e-06,0.5288069564423693,257,0.0331416656799929
laravel,short_code_share,-0.00018913107214851813,9.091033552251636e-25,257,0.0331416656799929
linux,log_questions,-0.0009476676165530559,6.292714399855521e-11,257,-0.1180082008799319
linux,log_answers,-0.0018958835462742256,6.883743862337837e-33,257,-0.1180082008799319
linux,code_share,1.6160067844309842e-05,0.5118545645064849,257,-0.1180082008799319
linux,short_code_share,-0.000188602275612487,2.540485018554759e-13,257,-0.1180082008799319
list,log_questions,0.0008842776783294733,2.440529660049259e-08,257,1.1652431331488442
list,log_answers,4.98528284578494e-05,0.7353404927079906,257,1.1652431331488442
list,code_share,-6.169720904330136e-05,1.3035879609003042e-06,257,1.1652431331488442
list,short_code_share,-0.0001496639503918115,7.685442784203944e-07,257,1.1652431331488442
loops,log_questions,-4.6276385085165404e-05,0.766346478722312,257,0.4070435815641886
loops,log_answers,-0.0007408193291004485,3.6259136792859838e-06,257,0.4070435815641886
loops,code_share,-8.614274532596744e-05,2.0465894350192304e-09,257,0.4070435815641886
loops,short_code_share,-5.305642822046728e-05,0.06734832494946186,257,0.4070435815641886
machine-learning,log_questions,-0.0026828094333263067,4.380785902716842e-31,257,-0.2426460625359708
machine-learning,log_answers,-0.00384616448544918,1.2071965509245709e-48,257,-0.2426460625359708
machine-learning,code_share,0.0004823189601971785,2.0237596048353804e-20,257,-0.2426460625359708
machine-learning,short_code_share,-0.00011300698052940208,1.8926675408425325e-06,257,-0.2426460625359708
macos,log_questions,-0.0018289944775516426,2.340619110355323e-25,257,-0.5258186019565344
macos,log_answers,-0.002292968201876296,1.7953976348816624e-25,257,-0.5258186019565344
macos,code_share,0.0003235384048949487,1.5546676078916992e-17,257,-0.5258186019565344
macos,short_code_share,-0.00010905903302179175,0.0007981969727312131,257,-0.5258186019565344
matplotlib,log_questions,-0.00017587853462646772,0.3356657228067105,257,0.1116362309922377
matplotlib,log_answers,-0.000929705111107629,1.919694801986087e-06,257,0.1116362309922377
matplotlib,code_share,-9.03495114011104e-07,0.9605467445388642,257,0.1116362309922377
matplotlib,short_code_share,-0.00010672395830152559,0.000210221287363035,257,0.1116362309922377
mongodb,log_questions,-0.0003704176623351106,0.004059277143881875,257,-0.2094346087408063
mongodb,log_answers,-0.0009431308552204648,3.637078528874141e-09,257,-0.2094346087408063
mongodb,code_share,1.9844809975383245e-05,0.26183245404468136,257,-0.2094346087408063
mongodb,short_code_share,-0.00017399588990011248,1.5012173601775549e-15,257,-0.2094346087408063
multithreading,log_questions,-0.002467376606920302,2.343224514664444e-56,257,-0.986497146415997
multithreading,log_answers,-0.0035955194030340997,6.323049651368705e-84,257,-0.986497146415997
multithreading,code_share,8.278249641003743e-05,0.0018197205330799397,257,-0.986497146415997
multithreading,short_code_share,-7.605583702729419e-05,0.00045851695467005407,257,-0.986497146415997
mysql,log_questions,-0.003786090476661696,1.539414834842796e-119,257,-0.0119100537262328
mysql,log_answers,-0.004937832698892701,3.169938519153696e-146,257,-0.0119100537262328
mysql,code_share,-0.00019728624619947373,5.862577090708371e-28,257,-0.0119100537262328
mysql,short_code_share,-0.00016455486833084323,4.292692851137877e-24,257,-0.0119100537262328
node.js,log_questions,-0.0007623078536462082,2.5730209898408614e-11,257,0.1064221564951898
node.js,log_answers,-0.0018557301072439534,4.371013065990443e-41,257,0.1064221564951898
node.js,code_share,5.833206892819272e-05,7.925708432042181e-07,257,0.1064221564951898
node.js,short_code_share,-0.0001373732662588378,3.97257644744498e-29,257,0.1064221564951898
numpy,log_questions,-9.831137204975996e-06,0.9436732816204201,257,0.5798751409036456
numpy,log_answers,-0.0007332173166896126,1.9965168576678043e-07,257,0.5798751409036456
numpy,code_share,-5.0198727411451484e-05,0.00041033166412672876,257,0.5798751409036456
numpy,short_code_share,-0.00018060071901233383,6.228790749466245e-12,257,0.5798751409036456
opencv,log_questions,-0.0017765475732632876,7.385601016738936e-23,257,-0.6557043932695598
opencv,log_answers,-0.0032139916493914436,2.75155965590237e-40,257,-0.6557043932695598
opencv,code_share,0.00020819704082091265,1.6299345433249948e-08,257,-0.6557043932695598
opencv,short_code_share,-0.00015288529619845466,3.4393948728681905e-07,257,-0.6557043932695598
oracle-database,log_questions,-0.0023828915048654297,3.0581873771160593e-43,257,0.231485258009526
oracle-database,log_answers,-0.0031773917011637576,1.4335480951782438e-58,257,0.231485258009526
oracle-database,code_share,-0.000307763631383756,3.297633883166005e-24,257,0.231485258009526
oracle-database,short_code_share,-0.0002431874502395916,1.6953864564803845e-16,257,0.231485258009526
pandas,log_questions,0.0015585805480462418,5.812580292968499e-26,257,0.8646355847327883
pandas,log_answers,0.00101361069030789,1.2722838411483327e-14,257,0.8646355847327883
pandas,code_share,-0.0002853894229514808,3.971427806821583e-74,257,0.8646355847327883
pandas,short_code_share,-0.0002575640072573548,3.949793272528914e-45,257,0.8646355847327883
php,log_questions,-0.004886684849407475,1.4054767310404978e-161,257,-0.0530024053363186
php,log_answers,-0.006174579958834179,3.453814329293962e-185,257,-0.0530024053363186
php,code_share,-3.4374484078003634e-05,0.0022259926233799913,257,-0.0530024053363186
php,short_code_share,-0.00019043823516899124,9.172995991254333e-46,257,-0.0530024053363186
postgresql,log_questions,0.0006813531449637886,9.005423792752482e-10,257,0.0090469414082173
postgresql,log_answers,-0.00023256182166310986,0.05626221460147738,257,0.0090469414082173
postgresql,code_share,-0.0001418942226488152,6.259676804457936e-13,257,0.0090469414082173
postgresql,short_code_share,-0.00020627948390308028,4.567557348416867e-19,257,0.0090469414082173
powershell,log_questions,-0.00031591009994097556,0.003228487804586813,257,-0.0841930701551901
powershell,log_answers,-0.0013963151405486168,7.644883726652956e-28,257,-0.0841930701551901
powershell,code_share,-3.5410711139813596e-05,0.09794828114814075,257,-0.0841930701551901
powershell,short_code_share,-0.00016669384852306717,5.045873621442922e-11,257,-0.0841930701551901
python,log_questions,0.0005952715713441185,4.891215602682977e-07,257,1.5155053868933794
python,log_answers,-0.0002334351504494083,0.039852204783985004,257,1.5155053868933794
python,code_share,-4.850320005924452e-05,4.4997621017684983e-14,257,1.5155053868933794
python,short_code_share,-0.00013469296055257314,6.260361080750786e-40,257,1.5155053868933794
python-3.x,log_questions,-0.0026475304645695755,1.724229779268301e-33,257,0.7162969406516968
python-3.x,log_answers,-0.0034642703071323107,2.0809049593970557e-47,257,0.7162969406516968
python-3.x,code_share,-2.016070780511269e-05,0.03266626493380698,257,0.7162969406516968
python-3.x,short_code_share,-0.00011866787982805181,7.242004873381458e-14,257,0.7162969406516968
r,log_questions,-0.0003840638528419299,0.0034702223863564163,257,0.4619074058245282
r,log_answers,-0.00046183606105265596,0.0004885575864577553,257,0.4619074058245282
r,code_share,-0.00011198651993910301,2.104329110873131e-26,257,0.4619074058245282
r,short_code_share,-0.00023658999446559277,2.4322456610167016e-45,257,0.4619074058245282
react-native,log_questions,-0.00039507152353606377,0.002250242958652104,257,-0.3501349399494347
react-native,log_answers,-0.0015482870415565622,5.932983433288408e-24,257,-0.3501349399494347
react-native,code_share,4.5004128332237935e-05,0.026407545805886484,257,-0.3501349399494347
react-native,short_code_share,-0.00015306333823303305,4.469102008701143e-19,257,-0.3501349399494347
reactjs,log_questions,0.002647053412858869,9.158981277318238e-55,257,0.2688228025830724
reactjs,log_answers,0.001421484179022104,6.280012447632081e-22,257,0.2688228025830724
reactjs,code_share,1.9652612579272712e-05,0.037983267323686995,257,0.2688228025830724
reactjs,short_code_share,-0.00010931785980880729,5.741087370129389e-28,257,0.2688228025830724
regex,log_questions,-0.0035726503607307687,1.067893429368678e-68,257,0.9802304212256678
regex,log_answers,-0.004050041534204788,9.44354630134229e-83,257,0.9802304212256678
regex,code_share,5.25060833688726e-05,7.027465293444834e-05,257,0.9802304212256678
regex,short_code_share,-0.0003611310200337541,1.2184052686052908e-33,257,0.9802304212256678
rest,log_questions,-0.0029364402508197268,1.1756740182732628e-64,257,-0.4859850437046596
rest,log_answers,-0.003565821583111871,2.3959814086769467e-71,257,-0.4859850437046596
rest,code_share,2.056873957729231e-05,0.556402024681476,257,-0.4859850437046596
rest,short_code_share,-5.434250715609057e-05,0.030070244740381478,257,-0.4859850437046596
ruby,log_questions,-0.004276898654516487,2.7257866759537414e-110,257,0.4603080231292742
ruby,log_answers,-0.0052205565609330755,1.7916249487328532e-115,257,0.4603080231292742
ruby,code_share,-6.012097639685971e-05,0.00463337521724193,257,0.4603080231292742
ruby,short_code_share,-0.0002071902829948065,4.962579030944e-09,257,0.4603080231292742
ruby-on-rails,log_questions,-0.00480785203352689,1.115662909119094e-124,257,0.0302708394790086
ruby-on-rails,log_answers,-0.005768329076714626,3.8315941187426507e-131,257,0.0302708394790086
ruby-on-rails,code_share,-3.52034257735936e-05,0.08413364068786279,257,0.0302708394790086
ruby-on-rails,short_code_share,-4.8826663159669156e-05,0.06273322171087185,257,0.0302708394790086
scala,log_questions,-0.005345100877322725,2.1284965678598504e-118,257,0.3439712611728827
scala,log_answers,-0.006663753573910092,2.1739335101609428e-124,257,0.3439712611728827
scala,code_share,-7.05880049280243e-05,0.002579549138530281,257,0.3439712611728827
scala,short_code_share,-0.00024276611755833053,2.100598768926535e-11,257,0.3439712611728827
selenium,log_questions,-0.00034115940864793445,0.005092506157735363,257,0.0750129390583791
selenium,log_answers,-0.0015421407456519185,1.3748134789763646e-26,257,0.0750129390583791
selenium,code_share,9.300791443178569e-05,9.303326463752708e-05,257,0.0750129390583791
selenium,short_code_share,-0.0001273294652439672,3.996841935302436e-07,257,0.0750129390583791
shell,log_questions,-0.0020703100894046804,2.0637052439339888e-44,257,0.6831617194501317
shell,log_answers,-0.0027023542256663117,1.3659760347176741e-55,257,0.6831617194501317
shell,code_share,3.8495471471824834e-05,0.06509258405318022,257,0.6831617194501317
shell,short_code_share,-0.000267327844522564,6.28061052209442e-11,257,0.6831617194501317
spring,log_questions,-0.002662024154684996,1.5950470398313345e-72,257,-0.645884877197608
spring,log_answers,-0.003741038387502393,6.21667815051813e-93,257,-0.645884877197608
spring,code_share,1.5019923308659708e-05,0.37513070892202516,257,-0.645884877197608
spring,short_code_share,-8.037634314700905e-05,5.401754212820291e-07,257,-0.645884877197608
spring-boot,log_questions,-0.0005053291577525243,4.0436166931941825e-05,257,-0.6374092543835994
spring-boot,log_answers,-0.0017261224218176417,2.4297652370663623e-33,257,-0.6374092543835994
spring-boot,code_share,-8.006011151700344e-06,0.629231356643501,257,-0.6374092543835994
spring-boot,short_code_share,-6.087517468784104e-05,3.419954611423643e-05,257,-0.6374092543835994
sql,log_questions,-0.00151572347997021,3.3100968192185654e-36,257,0.5878728743219979
sql,log_answers,-0.00286358709010894,2.173459657082958e-81,257,0.5878728743219979
sql,code_share,-0.0003181951112295502,1.5957659546135475e-53,257,0.5878728743219979
sql,short_code_share,-0.00024058314423786975,4.8227579554899394e-39,257,0.5878728743219979
sql-server,log_questions,-0.003780155470294675,7.056711469398265e-110,257,-0.1225456436497122
