tag,in_fixed_100_list,raw_folder_exists,in_manifest,in_clean_2025,in_panel_2020_2025,n_raw_json_files,n_clean_question_tag_rows_2025,n_unique_questions_2025,n_panel_rows_2025,first_observed_date_2025,last_observed_date_2025,status
docker,True,True,True,True,True,19,945,945,232,2025-01-01 01:09:31,2025-12-31 21:16:04,ok
excel,True,True,True,True,True,20,1915,1915,271,2025-01-01 01:08:54,2025-12-31 00:26:00,ok
express,True,True,True,True,True,4,358,358,150,2025-01-01 07:10:20,2025-12-31 17:03:09,ok
firebase,True,True,True,True,True,9,806,806,233,2025-01-01 10:46:25,2025-12-30 10:32:01,ok
flask,True,True,True,True,True,4,337,337,141,2025-01-01 18:07:36,2025-12-24 18:58:26,ok
flutter,True,True,True,True,True,31,3091,3091,310,2025-01-01 00:56:14,2025-12-31 09:26:00,ok
for-loop,True,True,True,True,True,2,150,150,89,2025-01-01 18:36:58,2025-12-22 00:28:26,ok
function,True,True,True,True,True,3,273,273,136,2025-01-01 00:27:08,2025-12-29 15:42:22,ok
ggplot2,True,True,True,True,True,6,596,596,167,2025-01-01 22:52:45,2025-12-30 05:29:30,ok
git,True,True,True,True,True,10,911,911,275,2025-01-02 04:43:38,2025-12-31 18:08:06,ok
go,True,True,True,True,True,7,657,657,215,2025-01-01 05:15:10,2025-12-31 12:41:24,ok
google-apps-script,True,True,True,True,True,5,479,479,164,2025-01-01 06:28:05,2025-12-23 18:41:11,ok
google-cloud-firestore,True,True,True,True,True,3,235,235,123,2025-01-02 04:57:52,2025-12-22 17:49:33,ok
google-cloud-platform,True,True,True,True,True,8,713,713,222,2025-01-01 12:11:54,2025-12-30 11:02:08,ok
google-sheets,True,True,True,True,True,7,619,619,189,2025-01-01 02:54:12,2025-12-27 00:55:05,ok
html,True,True,True,True,True,31,3031,3031,262,2025-01-01 00:39:24,2025-12-31 16:53:13,ok
ios,True,True,True,True,True,26,2562,2562,312,2025-01-01 00:51:04,2025-12-31 21:54:13,ok
java,True,True,True,True,True,58,5713,5713,344,2025-01-01 01:08:48,2025-12-31 13:52:54,ok
javascript,True,True,True,True,True,63,6263,6263,319,2025-01-01 00:39:24,2025-12-31 21:35:06,ok
jquery,True,True,True,True,True,5,404,404,132,2025-01-01 17:34:05,2025-12-30 14:07:33,ok
json,True,True,True,True,True,9,895,895,215,2025-01-01 05:15:10,2025-12-31 22:09:50,ok
keras,True,True,True,True,True,2,160,160,94,2025-01-02 19:05:01,2025-12-31 03:36:49,ok
kotlin,True,True,True,True,True,18,1722,1722,281,2025-01-01 07:28:23,2025-12-31 03:05:33,ok
kubernetes,True,True,True,True,True,5,429,429,179,2025-01-01 15:19:30,2025-12-29 14:13:23,ok
laravel,True,True,True,True,True,12,1166,1166,248,2025-01-01 15:39:48,2025-12-31 22:09:50,ok
linux,True,True,True,True,True,10,953,953,249,2025-01-01 01:05:55,2025-12-31 09:38:51,ok
list,True,True,True,True,True,3,250,250,122,2025-01-02 20:07:08,2025-12-31 06:42:59,ok
loops,True,True,True,True,True,17,184,184,100,2025-01-02 03:00:10,2025-12-10 17:30:01,ok
machine-learning,True,True,True,True,True,4,351,351,147,2025-01-01 00:37:11,2025-12-31 01:50:57,ok
macos,True,True,True,True,True,9,832,832,262,2025-01-01 16:43:07,2025-12-30 21:09:38,ok
matplotlib,True,True,True,True,True,5,457,457,162,2025-01-01 03:14:36,2025-12-27 23:44:41,ok
mongodb,True,True,True,True,True,5,493,493,194,2025-01-01 01:10:29,2025-12-29 18:35:53,ok
multithreading,True,True,True,True,True,6,558,558,189,2025-01-01 16:16:44,2025-12-31 03:28:49,ok
mysql,True,True,True,True,True,6,520,520,193,2025-01-01 22:14:13,2025-12-30 16:49:46,ok
node.js,True,True,True,True,True,21,2065,2065,302,2025-01-01 01:01:25,2025-12-31 17:04:04,ok
numpy,True,True,True,True,True,6,573,573,192,2025-01-01 17:29:54,2025-12-31 01:50:57,ok
opencv,True,True,True,True,True,17,192,192,105,2025-01-03 14:47:31,2025-12-09 12:45:06,ok
oracle-database,True,True,True,True,True,6,558,558,198,2025-01-02 09:11:06,2025-12-26 09:03:17,ok
pandas,True,True,True,True,True,11,1064,1064,218,2025-01-01 16:23:47,2025-12-31 13:46:20,ok
php,True,True,True,True,True,22,2165,2165,268,2025-01-01 12:51:01,2025-12-30 15:19:35,ok
postgresql,True,True,True,True,True,41,1517,1517,286,2025-01-01 09:01:58,2025-12-31 16:00:40,ok
powershell,True,True,True,True,True,12,1128,1128,262,2025-01-01 00:28:42,2025-12-31 15:39:50,ok
python,True,True,True,True,True,137,13603,13603,346,2025-01-01 00:37:11,2025-12-31 23:14:43,ok
python-3.x,True,True,True,True,True,10,970,970,246,2025-01-01 06:13:17,2025-12-30 11:08:28,ok
r,True,True,True,True,True,33,3268,3268,291,2025-01-01 01:36:06,2025-12-31 18:36:35,ok
react-native,True,True,True,True,True,19,1838,1838,301,2025-01-01 01:07:07,2025-12-31 11:29:03,ok
reactjs,True,True,True,True,True,33,3267,3267,298,2025-01-01 01:46:45,2025-12-31 17:26:11,ok
regex,True,True,True,True,True,5,500,500,160,2025-01-02 09:41:17,2025-12-30 13:37:14,ok
rest,True,True,True,True,True,4,353,353,176,2025-01-02 01:11:02,2025-12-30 21:03:29,ok
ruby,True,True,True,True,True,3,284,284,146,2025-01-03 13:44:35,2025-12-31 01:47:04,ok
ruby-on-rails,True,True,True,True,True,5,423,423,171,2025-01-02 17:35:39,2025-12-26 11:29:29,ok
scala,True,True,True,True,True,3,256,256,132,2025-01-02 12:17:29,2025-12-31 06:21:27,ok
selenium,True,True,True,True,True,17,632,632,205,2025-01-01 12:26:07,2025-12-29 15:42:11,ok
shell,True,True,True,True,True,3,254,254,141,2025-01-01 16:43:07,2025-12-31 03:54:33,ok
spring,True,True,True,True,True,13,1266,1266,268,2025-01-01 12:26:31,2025-12-31 15:50:47,ok
spring-boot,True,True,True,True,True,23,2237,2237,304,2025-01-01 04:28:22,2025-12-31 15:50:47,ok
sql,True,True,True,True,True,20,1919,1919,260,2025-01-02 06:04:05,2025-12-30 16:49:46,ok
sql-server,True,True,True,True,True,12,1109,1109,254,2025-01-01 12:49:18,2025-12-27 18:05:46,ok
string,True,True,True,True,True,4,329,329,144,2025-01-01 01:08:54,2025-12-31 18:36:35,ok
swift,True,True,True,True,True,20,1971,1971,286,2025-01-01 07:57:15,2025-12-31 09:32:07,ok
swiftui,True,True,True,True,True,16,1548,1548,255,2025-01-01 09:49:25,2025-12-30 11:35:54,ok
tensorflow,True,True,True,True,True,4,350,350,149,2025-01-01 00:37:11,2025-12-31 03:36:49,ok
tkinter,True,True,True,True,True,4,324,324,147,2025-01-01 16:26:38,2025-12-28 23:41:36,ok
typescript,True,True,True,True,True,31,3009,3009,294,2025-01-01 00:33:09,2025-12-31 22:09:50,ok
unity-game-engine,True,True,True,True,True,6,586,586,211,2025-01-01 15:49:06,2025-12-30 13:53:00,ok
vba,True,True,True,True,True,13,1275,1275,247,2025-01-01 07:09:44,2025-12-30 17:43:49,ok
visual-studio,True,True,True,True,True,8,723,723,261,2025-01-01 12:46:03,2025-12-30 14:29:45,ok
visual-studio-code,True,True,True,True,True,15,1430,1430,301,2025-01-01 20:25:38,2025-12-30 16:55:26,ok
vue.js,True,True,True,True,True,7,648,648,200,2025-01-03 00:28:33,2025-12-31 09:04:03,ok
web-scraping,True,True,True,True,True,3,276,276,132,2025-01-01 01:09:11,2025-12-26 18:33:05,ok
windows,True,True,True,True,True,14,1309,1309,266,2025-01-01 11:14:26,2025-12-31 09:13:05,ok
wordpress,True,True,True,True,True,7,629,629,200,2025-01-01 16:18:09,2025-12-31 17:54:16,ok
wpf,True,True,True,True,True,4,393,393,161,2025-01-02 04:14:58,2025-12-28 08:52:06,ok
xcode,True,True,True,True,True,6,556,556,238,2025-01-01 19:53:38,2025-12-31 21:54:13,ok
xml,True,True,True,True,True,6,526,526,181,2025-01-01 12:05:12,2025-12-30 16:44:16,ok
